응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,B4-1_정서회복도움,B4-2_운영방식편리,B4-3_필요프로그램,B4-4_폭언폭행지원충분,B4-5_바라는점
1,2026-03-12 14:00:00,밀양노인통합지원센터,2,2,밀양노인통합지원센터,1,1,1,1,5,5,4,2,3,현장 방문 횟수가 늘어나면 좋겠습니다.
2,2026-06-19 10:39:00,양산행복한돌봄 사회적협동조합,1,1,양산행복한돌봄 사회적협동조합,5,5,5,5,1,1,3,1,4,현장 의견 반영이 더 필요합니다.
3,2026-03-19 10:24:00,양산행복한돌봄 사회적협동조합,5,2,양산행복한돌봄 사회적협동조합,2,2,4,2,4,5,5,5,4,실무 매뉴얼 보완이 필요합니다.
4,2026-09-01 17:50:00,하청교회 행복늘푸른대학,3,3,하청교회 행복늘푸른대학,5,1,5,4,4,3,4,2,1,현장 의견 반영이 더 필요합니다.
5,2026-11-09 12:15:00,진주노인통합지원센터,4,1,진주노인통합지원센터,1,2,4,1,1,5,1,3,1,실무 매뉴얼 보완이 필요합니다.
6,2026-07-11 17:09:00,김해시종합사회복지관,5,3,김해시종합사회복지관,2,1,2,3,1,1,3,2,3,교육 주제가 다양해졌으면 합니다.
7,2026-07-14 15:01:00,김해시종합사회복지관,4,3,김해시종합사회복지관,4,5,5,5,3,3,5,3,4,현장 방문 횟수가 늘어나면 좋겠습니다.
8,2026-05-23 09:06:00,대한노인회 고성군지회(노인맞춤돌봄서비스),1,2,대한노인회 고성군지회(노인맞춤돌봄서비스),3,1,2,5,1,5,2,2,2,종사자 처우 개선이 시급합니다.
9,2026-10-20 13:00:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,4,대한노인회 고성군지회(노인맞춤돌봄서비스),2,1,5,3,5,1,4,3,3,담당자 응대가 친절하고 도움이 되었습니다.
10,2026-06-26 14:40:00,화방남해노인통합지원센터,2,4,화방남해노인통합지원센터,3,2,2,3,4,1,1,3,1,담당자 응대가 친절하고 도움이 되었습니다.
11,2026-04-25 17:08:00,화방남해노인통합지원센터,5,3,화방남해노인통합지원센터,1,5,1,4,1,2,3,3,5,현장 의견 반영이 더 필요합니다.
12,2026-09-04 09:03:00,창녕지역자활센터,4,2,창녕지역자활센터,2,1,3,4,4,1,1,1,2,종사자 처우 개선이 시급합니다.
13,2026-06-17 11:29:00,창녕지역자활센터,1,1,창녕지역자활센터,1,2,2,2,5,4,1,3,1,담당자 응대가 친절하고 도움이 되었습니다.
14,2026-07-18 14:00:00,나누리노인통합지원센터,4,4,나누리노인통합지원센터,4,3,2,3,3,4,1,3,2,담당자 응대가 친절하고 도움이 되었습니다.
15,2026-09-08 13:24:00,산청성모노인통합지원센터,1,1,산청성모노인통합지원센터,5,1,3,2,1,3,4,2,3,온라인 교육 병행을 희망합니다.
16,2026-05-09 12:22:00,산청성모노인통합지원센터,5,4,산청성모노인통합지원센터,1,4,4,5,2,2,3,1,2,온라인 교육 병행을 희망합니다.
17,2026-09-15 09:32:00,사천노인통합지원센터,4,4,사천노인통합지원센터,4,3,4,2,2,3,1,5,4,현장 방문 횟수가 늘어나면 좋겠습니다.
18,2026-11-28 13:50:00,사회적협동조합 합천종합복지공동체,5,3,사회적협동조합 합천종합복지공동체,4,4,1,2,5,1,2,3,1,현장 의견 반영이 더 필요합니다.
19,2026-09-04 17:19:00,사회적협동조합 합천종합복지공동체,5,4,사회적협동조합 합천종합복지공동체,3,2,2,2,3,3,2,3,1,행정 절차 간소화가 필요합니다.
20,2026-09-18 11:07:00,사회복지법인신생원양산재가노인복지센터,2,1,사회복지법인신생원양산재가노인복지센터,3,4,3,5,3,2,3,3,5,담당자 응대가 친절하고 도움이 되었습니다.
21,2026-03-13 13:51:00,사회복지법인신생원양산재가노인복지센터,3,1,사회복지법인신생원양산재가노인복지센터,1,1,5,4,2,5,5,1,5,담당자 응대가 친절하고 도움이 되었습니다.
22,2026-06-01 15:14:00,생명의전화노인통합지원센터,3,2,생명의전화노인통합지원센터,3,5,3,5,5,2,1,5,5,행정 절차 간소화가 필요합니다.
23,2026-09-18 09:25:00,생명의전화노인통합지원센터,4,3,생명의전화노인통합지원센터,1,3,1,1,1,2,1,2,3,행정 절차 간소화가 필요합니다.
24,2026-07-03 11:15:00,효능원노인통합지원센터,1,1,효능원노인통합지원센터,4,1,3,5,5,4,1,2,4,담당자 응대가 친절하고 도움이 되었습니다.
25,2026-11-13 09:03:00,거제노인통합지원센터,2,2,거제노인통합지원센터,1,2,1,5,4,5,5,5,5,현장 의견 반영이 더 필요합니다.
26,2026-04-26 13:02:00,사단법인 대한노인회 함양군지회,1,2,사단법인 대한노인회 함양군지회,3,4,1,2,1,4,1,5,4,종사자 처우 개선이 시급합니다.
27,2026-03-25 10:56:00,거창노인통합지원센터,4,2,거창노인통합지원센터,3,5,1,5,3,1,5,3,4,종사자 처우 개선이 시급합니다.
28,2026-08-28 14:58:00,거창노인통합지원센터,1,1,거창노인통합지원센터,1,2,4,3,2,3,5,2,1,현장 의견 반영이 더 필요합니다.
29,2026-05-18 17:43:00,경남노인통합지원센터,4,1,경남노인통합지원센터,4,2,4,5,1,2,4,1,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
30,2026-09-01 17:44:00,경남노인통합지원센터,5,1,경남노인통합지원센터,5,4,2,2,2,5,5,4,3,온라인 교육 병행을 희망합니다.
31,2026-04-18 12:31:00,보현행원노인통합지원센터,3,2,보현행원노인통합지원센터,1,4,4,5,1,1,2,3,5,현장 의견 반영이 더 필요합니다.
32,2026-11-12 14:29:00,보현행원노인통합지원센터,5,1,보현행원노인통합지원센터,1,2,3,3,2,2,2,4,2,담당자 응대가 친절하고 도움이 되었습니다.
33,2026-09-19 09:50:00,진양노인통합지원센터,4,4,진양노인통합지원센터,5,3,4,3,4,4,1,4,4,지속적인 지원을 부탁드립니다.
