응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D2-1_슈퍼비전도움,D2-2_즉각대응충분,D2-3_연계정보충분,D2-4_내년필요지원,D2-5_바라는점
1,2026-04-21 16:17:00,사랑원노인지원센터,5,1,사랑원노인지원센터,4,1,4,1,3,1,2,2,1,종사자 처우 개선이 시급합니다.
2,2026-04-13 17:04:00,사랑원노인지원센터,3,1,사랑원노인지원센터,2,3,3,4,4,1,5,3,5,교육 주제가 다양해졌으면 합니다.
3,2026-10-26 16:18:00,사랑원노인지원센터,1,2,사랑원노인지원센터,5,2,5,4,3,2,2,1,2,현장 방문 횟수가 늘어나면 좋겠습니다.
4,2026-08-24 09:36:00,거창인애노인통합지원센터,5,4,거창인애노인통합지원센터,2,1,5,2,4,4,4,4,1,실무 매뉴얼 보완이 필요합니다.
5,2026-09-14 15:27:00,거창인애노인통합지원센터,1,1,거창인애노인통합지원센터,2,3,4,2,3,2,1,2,2,담당자 응대가 친절하고 도움이 되었습니다.
6,2026-06-09 17:02:00,거창인애노인통합지원센터,1,2,거창인애노인통합지원센터,4,4,5,2,4,4,3,5,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
7,2026-10-20 10:20:00,산청복음노인통합지원센터,2,3,산청복음노인통합지원센터,3,4,1,3,3,1,5,2,2,교육 주제가 다양해졌으면 합니다.
8,2026-08-03 16:19:00,산청복음노인통합지원센터,4,3,산청복음노인통합지원센터,4,3,2,4,1,1,5,4,2,온라인 교육 병행을 희망합니다.
9,2026-09-07 10:36:00,사단법인 대한노인회 함양군지회,5,3,사단법인 대한노인회 함양군지회,4,5,3,3,5,2,2,4,4,현장 방문 횟수가 늘어나면 좋겠습니다.
10,2026-04-10 09:01:00,마산회원노인종합복지관,2,3,마산회원노인종합복지관,1,2,3,3,1,2,3,3,3,종사자 처우 개선이 시급합니다.
11,2026-09-16 11:11:00,마산회원노인종합복지관,5,2,마산회원노인종합복지관,5,1,3,4,2,2,1,3,3,행정 절차 간소화가 필요합니다.
12,2026-04-12 16:18:00,산청한일노인통합지원센터,5,2,산청한일노인통합지원센터,2,3,1,1,3,5,4,5,5,온라인 교육 병행을 희망합니다.
13,2026-08-07 10:08:00,산청한일노인통합지원센터,1,3,산청한일노인통합지원센터,1,5,3,3,2,4,4,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
14,2026-06-02 17:51:00,거창노인통합지원센터,3,1,거창노인통합지원센터,1,1,5,4,2,1,3,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
15,2026-08-03 10:16:00,거창노인통합지원센터,2,4,거창노인통합지원센터,4,5,4,2,1,1,4,5,1,종사자 처우 개선이 시급합니다.
16,2026-10-04 09:39:00,거창노인통합지원센터,4,3,거창노인통합지원센터,4,3,2,3,4,1,4,5,1,담당자 응대가 친절하고 도움이 되었습니다.
17,2026-06-08 10:23:00,하늘마음노인통합지원센터,3,2,하늘마음노인통합지원센터,2,1,4,1,1,2,2,1,2,종사자 처우 개선이 시급합니다.
18,2026-09-28 14:41:00,하늘마음노인통합지원센터,3,1,하늘마음노인통합지원센터,3,2,2,3,1,1,3,2,1,현장 방문 횟수가 늘어나면 좋겠습니다.
19,2026-10-02 10:20:00,사천건양주야간보호센터,1,3,사천건양주야간보호센터,3,5,5,2,1,1,4,4,2,교육 주제가 다양해졌으면 합니다.
20,2026-11-05 11:08:00,사천건양주야간보호센터,2,3,사천건양주야간보호센터,1,1,3,2,5,2,2,2,1,지속적인 지원을 부탁드립니다.
21,2026-05-21 09:06:00,명진노인통합지원센터,5,1,명진노인통합지원센터,1,1,2,3,5,3,2,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
22,2026-06-08 11:23:00,명진노인통합지원센터,2,4,명진노인통합지원센터,1,2,2,2,5,3,3,4,3,지속적인 지원을 부탁드립니다.
23,2026-06-10 11:32:00,미타재가복지센터,4,3,미타재가복지센터,3,5,4,4,1,2,3,5,5,현장 방문 횟수가 늘어나면 좋겠습니다.
24,2026-06-09 11:47:00,밀양시자원봉사단체협의회,1,3,밀양시자원봉사단체협의회,2,4,4,4,2,3,5,5,3,담당자 응대가 친절하고 도움이 되었습니다.
25,2026-10-27 12:22:00,밀양시자원봉사단체협의회,4,1,밀양시자원봉사단체협의회,3,2,4,4,3,3,5,1,3,온라인 교육 병행을 희망합니다.
26,2026-05-12 12:55:00,공덕의집노인통합지원센터,5,1,공덕의집노인통합지원센터,5,4,4,3,1,3,4,3,2,교육 주제가 다양해졌으면 합니다.
27,2026-09-28 14:10:00,공덕의집노인통합지원센터,3,4,공덕의집노인통합지원센터,3,4,4,3,2,3,2,5,5,현장 방문 횟수가 늘어나면 좋겠습니다.
28,2026-11-11 12:09:00,화방재가복지센터,3,2,화방재가복지센터,4,4,5,2,3,1,3,4,1,담당자 응대가 친절하고 도움이 되었습니다.
29,2026-10-28 15:12:00,창녕군새누리노인종합센터,5,2,창녕군새누리노인종합센터,3,3,2,3,4,5,3,5,4,교육 주제가 다양해졌으면 합니다.
30,2026-03-14 10:25:00,창녕군새누리노인종합센터,5,2,창녕군새누리노인종합센터,3,5,4,5,2,5,5,5,1,현장 방문 횟수가 늘어나면 좋겠습니다.
31,2026-04-12 12:43:00,창녕군새누리노인종합센터,5,1,창녕군새누리노인종합센터,1,4,5,2,4,1,1,2,1,온라인 교육 병행을 희망합니다.
32,2026-10-05 15:03:00,사회복지법인신생원양산재가노인복지센터,4,2,사회복지법인신생원양산재가노인복지센터,1,1,3,5,5,4,4,5,1,종사자 처우 개선이 시급합니다.
33,2026-09-24 13:36:00,합천노인통합지원센터,2,1,합천노인통합지원센터,2,1,3,4,2,5,3,4,4,담당자 응대가 친절하고 도움이 되었습니다.
34,2026-07-27 11:47:00,거제사랑노인복지센터,5,2,거제사랑노인복지센터,4,3,3,4,2,2,5,1,4,담당자 응대가 친절하고 도움이 되었습니다.
35,2026-07-01 12:25:00,거제사랑노인복지센터,5,3,거제사랑노인복지센터,5,1,1,2,4,4,3,5,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
36,2026-09-15 09:26:00,성요셉소규모노인종합센터,5,2,성요셉소규모노인종합센터,2,3,2,5,1,1,1,4,1,담당자 응대가 친절하고 도움이 되었습니다.
37,2026-08-26 09:07:00,성요셉소규모노인종합센터,4,2,성요셉소규모노인종합센터,5,5,3,5,1,1,2,2,2,행정 절차 간소화가 필요합니다.
38,2026-07-07 16:58:00,성요셉소규모노인종합센터,4,4,성요셉소규모노인종합센터,2,3,5,1,3,1,5,5,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
39,2026-03-03 15:31:00,김해돌봄지원센터,5,2,김해돌봄지원센터,1,1,3,5,1,1,4,1,3,실무 매뉴얼 보완이 필요합니다.
40,2026-04-25 09:03:00,김해돌봄지원센터,3,2,김해돌봄지원센터,1,2,5,5,4,4,1,4,5,현장 의견 반영이 더 필요합니다.
41,2026-04-20 09:15:00,김해돌봄지원센터,3,2,김해돌봄지원센터,1,2,3,5,3,3,5,3,2,현장 의견 반영이 더 필요합니다.
42,2026-08-07 10:27:00,사회적협동조합 합천종합복지공동체,1,4,사회적협동조합 합천종합복지공동체,5,1,4,5,1,2,5,4,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
43,2026-10-04 10:50:00,우리들노인통합지원센터,4,1,우리들노인통합지원센터,2,2,1,5,3,1,2,3,4,현장 의견 반영이 더 필요합니다.
44,2026-05-17 17:51:00,우리들노인통합지원센터,1,3,우리들노인통합지원센터,1,1,2,5,4,3,3,2,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
45,2026-06-14 16:54:00,경남노인통합지원센터,5,3,경남노인통합지원센터,4,4,3,4,2,5,1,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
46,2026-03-21 16:19:00,경남노인통합지원센터,5,1,경남노인통합지원센터,4,1,5,3,2,2,2,1,3,행정 절차 간소화가 필요합니다.
47,2026-03-03 12:05:00,경남노인통합지원센터,3,2,경남노인통합지원센터,3,1,4,5,4,2,4,1,4,종사자 처우 개선이 시급합니다.
48,2026-08-11 11:20:00,의령노인통합지원센터,2,4,의령노인통합지원센터,3,1,1,2,3,3,4,1,4,실무 매뉴얼 보완이 필요합니다.
49,2026-11-20 13:33:00,의령노인통합지원센터,5,3,의령노인통합지원센터,4,4,5,3,5,5,5,2,1,현장 의견 반영이 더 필요합니다.
50,2026-04-19 14:27:00,통영시종합사회복지관,4,3,통영시종합사회복지관,4,2,3,3,5,3,2,2,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
51,2026-10-05 15:25:00,통영시종합사회복지관,2,3,통영시종합사회복지관,4,3,1,3,4,1,4,1,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
52,2026-07-04 12:00:00,창녕지역자활센터,4,4,창녕지역자활센터,2,3,1,5,4,1,1,1,4,현장 방문 횟수가 늘어나면 좋겠습니다.
53,2026-11-20 09:43:00,창녕지역자활센터,3,1,창녕지역자활센터,4,2,5,2,1,4,4,2,2,종사자 처우 개선이 시급합니다.
54,2026-04-04 14:55:00,생명의전화노인통합지원센터,2,2,생명의전화노인통합지원센터,2,2,5,2,2,2,5,2,3,현장 의견 반영이 더 필요합니다.
55,2026-11-09 16:20:00,생명의전화노인통합지원센터,2,2,생명의전화노인통합지원센터,3,5,5,5,3,1,1,3,1,현장 의견 반영이 더 필요합니다.
56,2026-11-09 16:38:00,생명의전화노인통합지원센터,1,2,생명의전화노인통합지원센터,3,1,1,2,3,1,3,2,3,온라인 교육 병행을 희망합니다.
57,2026-05-25 17:37:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,1,대한노인회 고성군지회(노인맞춤돌봄서비스),4,3,1,3,4,5,1,5,4,종사자 처우 개선이 시급합니다.
58,2026-03-05 17:01:00,진주노인통합지원센터,1,1,진주노인통합지원센터,3,1,5,3,3,2,3,1,5,지속적인 지원을 부탁드립니다.
59,2026-11-25 10:59:00,함안군재가노인통합지원센터,3,3,함안군재가노인통합지원센터,4,5,4,4,3,2,5,1,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
60,2026-11-22 17:59:00,사천노인통합지원센터,5,2,사천노인통합지원센터,1,4,2,3,4,5,1,2,4,종사자 처우 개선이 시급합니다.
61,2026-04-22 11:06:00,사천노인통합지원센터,2,4,사천노인통합지원센터,3,2,4,5,5,1,3,3,5,지속적인 지원을 부탁드립니다.
62,2026-08-16 14:37:00,사천노인통합지원센터,5,3,사천노인통합지원센터,1,5,3,2,5,1,4,5,4,실무 매뉴얼 보완이 필요합니다.
63,2026-03-23 13:22:00,진해서부노인종합복지관,2,4,진해서부노인종합복지관,1,4,1,1,4,3,4,4,2,교육 주제가 다양해졌으면 합니다.
64,2026-10-25 13:23:00,진해서부노인종합복지관,4,1,진해서부노인종합복지관,1,4,3,2,4,4,1,2,4,종사자 처우 개선이 시급합니다.
65,2026-04-10 17:03:00,진해서부노인종합복지관,2,3,진해서부노인종합복지관,2,1,5,3,2,4,4,5,5,담당자 응대가 친절하고 도움이 되었습니다.
66,2026-09-10 13:19:00,경남하동지역자활센터,4,4,경남하동지역자활센터,2,3,1,5,3,2,2,2,3,담당자 응대가 친절하고 도움이 되었습니다.
67,2026-06-10 17:00:00,경남하동지역자활센터,1,3,경남하동지역자활센터,1,4,2,3,1,3,3,2,4,실무 매뉴얼 보완이 필요합니다.
68,2026-04-11 17:21:00,경남하동지역자활센터,3,4,경남하동지역자활센터,3,5,1,4,2,4,5,4,1,담당자 응대가 친절하고 도움이 되었습니다.
69,2026-05-12 16:03:00,밀양노인통합지원센터,2,2,밀양노인통합지원센터,2,2,5,3,5,3,3,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
70,2026-08-21 17:58:00,밀양노인통합지원센터,2,4,밀양노인통합지원센터,2,1,3,1,2,5,4,4,2,실무 매뉴얼 보완이 필요합니다.
71,2026-04-15 11:06:00,효능원노인통합지원센터,4,3,효능원노인통합지원센터,2,5,2,2,1,3,1,4,4,종사자 처우 개선이 시급합니다.
72,2026-05-04 14:43:00,효능원노인통합지원센터,2,2,효능원노인통합지원센터,4,4,5,2,4,1,4,2,2,지속적인 지원을 부탁드립니다.
73,2026-03-07 10:53:00,효능원노인통합지원센터,2,2,효능원노인통합지원센터,5,1,3,5,3,1,2,2,1,현장 방문 횟수가 늘어나면 좋겠습니다.
