응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D3-1_협력체계지원,D3-2_매뉴얼도움,D3-3_어려운점,D3-4_내년강화지원,D3-5_바라는점
1,2026-07-23 16:04:00,경남노인통합지원센터,5,3,경남노인통합지원센터,3,5,3,1,4,5,5,2,2,현장 의견 반영이 더 필요합니다.
2,2026-07-26 14:46:00,경남노인통합지원센터,2,2,경남노인통합지원센터,2,1,4,4,4,5,1,3,3,현장 방문 횟수가 늘어나면 좋겠습니다.
3,2026-07-15 13:53:00,경남노인통합지원센터,2,4,경남노인통합지원센터,1,1,5,3,3,2,5,1,1,온라인 교육 병행을 희망합니다.
4,2026-09-14 15:21:00,창녕군새누리노인종합센터,1,3,창녕군새누리노인종합센터,2,4,4,1,2,1,5,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
5,2026-08-16 17:03:00,창녕군새누리노인종합센터,4,1,창녕군새누리노인종합센터,5,1,2,2,2,1,1,4,4,종사자 처우 개선이 시급합니다.
6,2026-10-01 15:40:00,은빛노인통합지원센터,4,4,은빛노인통합지원센터,2,3,2,2,2,2,4,1,5,지속적인 지원을 부탁드립니다.
7,2026-05-03 11:24:00,은빛노인통합지원센터,5,3,은빛노인통합지원센터,5,3,4,2,4,1,1,3,2,실무 매뉴얼 보완이 필요합니다.
8,2026-07-07 09:02:00,은빛노인통합지원센터,1,2,은빛노인통합지원센터,4,3,2,5,5,5,2,2,1,교육 주제가 다양해졌으면 합니다.
9,2026-07-14 14:38:00,해월노인복지센터,5,4,해월노인복지센터,4,5,2,2,4,5,3,1,4,종사자 처우 개선이 시급합니다.
10,2026-10-14 14:36:00,창녕지역자활센터,1,3,창녕지역자활센터,2,5,2,1,1,1,3,1,4,지속적인 지원을 부탁드립니다.
11,2026-09-13 13:11:00,화방재가복지센터,4,4,화방재가복지센터,2,3,1,2,4,2,3,3,3,교육 주제가 다양해졌으면 합니다.
12,2026-10-27 14:43:00,플러스희망 사회적협동조합,4,3,플러스희망 사회적협동조합,4,5,4,4,3,5,4,5,3,실무 매뉴얼 보완이 필요합니다.
13,2026-05-06 13:52:00,함안군재가노인통합지원센터,5,3,함안군재가노인통합지원센터,3,1,1,3,4,2,3,1,4,실무 매뉴얼 보완이 필요합니다.
14,2026-05-19 15:20:00,함안군재가노인통합지원센터,4,3,함안군재가노인통합지원센터,1,2,1,4,2,4,4,4,2,실무 매뉴얼 보완이 필요합니다.
15,2026-08-23 09:39:00,김해돌봄지원센터,4,2,김해돌봄지원센터,3,3,2,1,2,5,1,3,4,지속적인 지원을 부탁드립니다.
16,2026-05-05 12:18:00,산청한일노인통합지원센터,4,4,산청한일노인통합지원센터,5,1,3,3,4,5,4,2,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
17,2026-07-23 09:29:00,창원도우누리노인통합재가센터,1,2,창원도우누리노인통합재가센터,2,5,5,2,1,3,4,5,2,교육 주제가 다양해졌으면 합니다.
18,2026-06-15 11:44:00,창원도우누리노인통합재가센터,1,3,창원도우누리노인통합재가센터,3,1,4,4,4,4,1,4,2,현장 방문 횟수가 늘어나면 좋겠습니다.
19,2026-06-22 11:54:00,창원도우누리노인통합재가센터,5,4,창원도우누리노인통합재가센터,2,1,1,1,2,2,1,1,5,행정 절차 간소화가 필요합니다.
20,2026-07-05 15:52:00,화방남해노인통합지원센터,3,2,화방남해노인통합지원센터,2,2,4,4,5,4,1,5,2,종사자 처우 개선이 시급합니다.
21,2026-09-16 10:44:00,화방남해노인통합지원센터,2,4,화방남해노인통합지원센터,1,3,3,5,3,4,5,2,1,종사자 처우 개선이 시급합니다.
22,2026-08-14 13:36:00,화방남해노인통합지원센터,1,1,화방남해노인통합지원센터,2,2,3,5,3,1,5,2,3,현장 의견 반영이 더 필요합니다.
23,2026-03-03 10:57:00,진양노인통합지원센터,3,3,진양노인통합지원센터,4,1,4,3,5,1,5,1,2,종사자 처우 개선이 시급합니다.
24,2026-11-19 09:18:00,진양노인통합지원센터,3,1,진양노인통합지원센터,1,3,1,3,2,1,3,4,4,종사자 처우 개선이 시급합니다.
25,2026-08-03 12:53:00,진양노인통합지원센터,3,2,진양노인통합지원센터,5,1,3,5,2,4,3,4,3,지속적인 지원을 부탁드립니다.
26,2026-03-07 09:39:00,동진노인통합지원센터,1,1,동진노인통합지원센터,4,5,3,4,3,4,1,4,4,종사자 처우 개선이 시급합니다.
27,2026-07-02 10:59:00,동진노인통합지원센터,5,1,동진노인통합지원센터,2,4,1,4,5,5,5,2,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
28,2026-09-03 10:23:00,동진노인통합지원센터,5,4,동진노인통합지원센터,4,5,4,1,1,5,5,4,4,온라인 교육 병행을 희망합니다.
29,2026-11-07 12:10:00,경남고용복지센터,4,1,경남고용복지센터,4,1,3,1,3,5,2,3,2,행정 절차 간소화가 필요합니다.
30,2026-08-21 17:04:00,경남고용복지센터,5,3,경남고용복지센터,4,3,4,2,5,3,2,3,2,교육 주제가 다양해졌으면 합니다.
31,2026-11-06 13:10:00,거창인애노인통합지원센터,4,4,거창인애노인통합지원센터,2,1,4,4,3,5,1,1,3,종사자 처우 개선이 시급합니다.
32,2026-07-14 15:35:00,거창인애노인통합지원센터,4,2,거창인애노인통합지원센터,1,2,1,2,5,3,2,2,4,담당자 응대가 친절하고 도움이 되었습니다.
33,2026-10-25 15:27:00,거창인애노인통합지원센터,5,2,거창인애노인통합지원센터,3,3,1,3,1,2,3,2,5,지속적인 지원을 부탁드립니다.
34,2026-09-04 12:00:00,진해노인종합복지관,5,4,진해노인종합복지관,2,1,5,5,4,2,1,4,2,종사자 처우 개선이 시급합니다.
35,2026-05-16 16:30:00,진해노인종합복지관,4,1,진해노인종합복지관,1,5,3,2,3,2,4,5,4,교육 주제가 다양해졌으면 합니다.
36,2026-03-01 16:58:00,합천노인통합지원센터,1,2,합천노인통합지원센터,1,1,2,3,2,2,3,3,4,교육 주제가 다양해졌으면 합니다.
37,2026-03-12 16:54:00,거제노인통합지원센터,4,4,거제노인통합지원센터,1,5,4,1,5,5,4,1,4,지속적인 지원을 부탁드립니다.
38,2026-09-12 15:25:00,거제노인통합지원센터,4,4,거제노인통합지원센터,3,1,5,5,4,5,2,2,3,행정 절차 간소화가 필요합니다.
39,2026-03-01 14:09:00,거제노인통합지원센터,2,3,거제노인통합지원센터,2,4,3,2,4,5,2,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
40,2026-04-25 13:15:00,(사)대한노인회함안군지회,5,1,(사)대한노인회함안군지회,4,1,3,3,4,2,4,1,1,지속적인 지원을 부탁드립니다.
41,2026-10-26 10:05:00,(사)대한노인회함안군지회,3,1,(사)대한노인회함안군지회,1,1,1,4,2,4,1,1,5,현장 의견 반영이 더 필요합니다.
42,2026-05-13 14:35:00,(사)대한노인회함안군지회,5,2,(사)대한노인회함안군지회,3,4,3,5,4,5,2,2,3,행정 절차 간소화가 필요합니다.
43,2026-11-23 12:22:00,거제사랑노인복지센터,4,1,거제사랑노인복지센터,5,2,1,3,5,4,4,5,1,행정 절차 간소화가 필요합니다.
44,2026-09-08 17:59:00,거제사랑노인복지센터,4,4,거제사랑노인복지센터,3,2,2,1,2,1,4,2,4,현장 방문 횟수가 늘어나면 좋겠습니다.
45,2026-08-05 17:09:00,거제사랑노인복지센터,3,4,거제사랑노인복지센터,5,3,3,5,2,4,2,3,1,현장 의견 반영이 더 필요합니다.
46,2026-05-01 17:25:00,생명의전화노인통합지원센터,1,1,생명의전화노인통합지원센터,3,4,1,3,1,5,1,5,3,행정 절차 간소화가 필요합니다.
47,2026-05-16 10:25:00,남양양로원,2,1,남양양로원,2,2,3,4,2,4,5,2,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
48,2026-03-24 09:37:00,사회복지법인신생원양산재가노인복지센터,1,2,사회복지법인신생원양산재가노인복지센터,1,5,4,5,1,1,3,5,1,담당자 응대가 친절하고 도움이 되었습니다.
49,2026-06-11 13:04:00,미타재가복지센터,3,2,미타재가복지센터,5,1,5,2,1,3,2,4,4,현장 방문 횟수가 늘어나면 좋겠습니다.
50,2026-04-08 15:25:00,미타재가복지센터,2,1,미타재가복지센터,5,1,2,2,4,5,1,3,5,행정 절차 간소화가 필요합니다.
51,2026-10-23 13:49:00,미타재가복지센터,4,1,미타재가복지센터,3,2,1,1,1,3,5,2,2,현장 의견 반영이 더 필요합니다.
52,2026-09-16 12:38:00,산청복음노인통합지원센터,4,3,산청복음노인통합지원센터,2,1,5,5,1,3,2,4,5,교육 주제가 다양해졌으면 합니다.
53,2026-10-14 14:41:00,산청복음노인통합지원센터,1,1,산청복음노인통합지원센터,4,4,4,4,1,5,4,4,4,담당자 응대가 친절하고 도움이 되었습니다.
54,2026-11-18 12:26:00,산청복음노인통합지원센터,2,4,산청복음노인통합지원센터,5,5,3,1,1,4,2,4,4,담당자 응대가 친절하고 도움이 되었습니다.
55,2026-05-06 15:27:00,효능원노인통합지원센터,4,4,효능원노인통합지원센터,5,5,1,5,2,4,4,1,4,지속적인 지원을 부탁드립니다.
56,2026-05-06 17:58:00,효능원노인통합지원센터,5,1,효능원노인통합지원센터,4,3,5,5,2,3,5,5,1,담당자 응대가 친절하고 도움이 되었습니다.
57,2026-08-11 16:30:00,효능원노인통합지원센터,4,2,효능원노인통합지원센터,4,3,5,4,4,3,1,5,2,종사자 처우 개선이 시급합니다.
58,2026-11-01 14:01:00,코끼리행복복지센터,1,3,코끼리행복복지센터,1,4,1,4,3,4,5,5,2,실무 매뉴얼 보완이 필요합니다.
59,2026-04-27 11:37:00,코끼리행복복지센터,3,4,코끼리행복복지센터,3,1,5,5,4,1,1,3,5,현장 방문 횟수가 늘어나면 좋겠습니다.
60,2026-03-28 14:49:00,산청성모노인통합지원센터,1,1,산청성모노인통합지원센터,5,2,3,3,5,2,5,4,5,온라인 교육 병행을 희망합니다.
61,2026-10-02 12:41:00,김해시종합사회복지관,1,2,김해시종합사회복지관,5,2,1,1,1,2,3,1,1,종사자 처우 개선이 시급합니다.
62,2026-09-27 09:31:00,김해시종합사회복지관,3,2,김해시종합사회복지관,5,1,4,5,3,2,2,2,2,교육 주제가 다양해졌으면 합니다.
63,2026-06-27 10:40:00,보현행원노인통합지원센터,5,1,보현행원노인통합지원센터,4,2,1,1,4,2,1,2,3,담당자 응대가 친절하고 도움이 되었습니다.
64,2026-09-21 15:08:00,보현행원노인통합지원센터,3,4,보현행원노인통합지원센터,3,2,4,3,1,3,4,1,3,행정 절차 간소화가 필요합니다.
65,2026-08-14 16:16:00,사천건양주야간보호센터,1,4,사천건양주야간보호센터,5,4,2,3,3,3,3,2,3,지속적인 지원을 부탁드립니다.
66,2026-04-09 15:41:00,사천건양주야간보호센터,4,4,사천건양주야간보호센터,3,5,2,3,5,2,3,5,2,지속적인 지원을 부탁드립니다.
67,2026-11-14 11:54:00,하늘마음노인통합지원센터,4,4,하늘마음노인통합지원센터,2,4,4,3,5,3,2,2,1,온라인 교육 병행을 희망합니다.
68,2026-10-12 17:30:00,하늘마음노인통합지원센터,1,3,하늘마음노인통합지원센터,2,2,4,5,5,2,3,3,2,현장 방문 횟수가 늘어나면 좋겠습니다.
69,2026-08-28 17:02:00,하늘마음노인통합지원센터,3,1,하늘마음노인통합지원센터,3,3,1,3,1,5,2,5,3,현장 방문 횟수가 늘어나면 좋겠습니다.
