응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D4-1_응대속도,D4-2_문제해결도움,D4-3_상담받은유형,D4-4_내년필요유형(복수),D4-5_바라는점
1,2026-04-10 12:21:00,김해시종합사회복지관,2,1,김해시종합사회복지관,2,4,5,3,2,2,4,5,1;2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
2,2026-04-05 12:42:00,김해시종합사회복지관,3,1,김해시종합사회복지관,3,2,4,3,2,4,3,2,2;4;6,지속적인 지원을 부탁드립니다.
3,2026-04-23 09:33:00,김해시종합사회복지관,3,4,김해시종합사회복지관,2,5,2,5,3,3,3,3,3,현장 방문 횟수가 늘어나면 좋겠습니다.
4,2026-04-19 12:20:00,경남고용복지센터,1,1,경남고용복지센터,4,3,3,3,3,2,4,6,4,담당자 응대가 친절하고 도움이 되었습니다.
5,2026-05-18 10:26:00,(사)대한노인회함안군지회,4,2,(사)대한노인회함안군지회,2,4,3,4,1,2,1,6,3;4,현장 방문 횟수가 늘어나면 좋겠습니다.
6,2026-05-25 15:16:00,(사)대한노인회함안군지회,1,2,(사)대한노인회함안군지회,4,1,5,3,5,1,5,6,2;4,현장 의견 반영이 더 필요합니다.
7,2026-03-14 12:05:00,거제노인통합지원센터,5,4,거제노인통합지원센터,2,1,2,5,5,3,1,4,1;3;4,지속적인 지원을 부탁드립니다.
8,2026-03-23 14:46:00,거제노인통합지원센터,5,2,거제노인통합지원센터,2,4,4,2,1,2,2,3,5,종사자 처우 개선이 시급합니다.
9,2026-11-02 13:32:00,거제노인통합지원센터,3,1,거제노인통합지원센터,3,2,1,2,3,5,2,4,1;3,담당자 응대가 친절하고 도움이 되었습니다.
10,2026-05-26 12:06:00,은빛노인통합지원센터,2,3,은빛노인통합지원센터,2,4,3,3,4,4,4,2,1;5;6,지속적인 지원을 부탁드립니다.
11,2026-07-19 09:47:00,은빛노인통합지원센터,3,3,은빛노인통합지원센터,2,1,5,2,3,2,4,5,1;2,현장 의견 반영이 더 필요합니다.
12,2026-05-22 16:30:00,은빛노인통합지원센터,1,1,은빛노인통합지원센터,3,1,4,2,5,1,4,5,4,지속적인 지원을 부탁드립니다.
13,2026-10-07 11:32:00,성요셉소규모노인종합센터,1,4,성요셉소규모노인종합센터,2,5,1,1,5,4,2,5,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
14,2026-11-08 15:36:00,보현행원노인통합지원센터,1,3,보현행원노인통합지원센터,4,2,4,4,4,1,1,3,5,종사자 처우 개선이 시급합니다.
15,2026-10-16 09:28:00,보현행원노인통합지원센터,3,3,보현행원노인통합지원센터,5,5,1,3,2,1,3,3,1;6,담당자 응대가 친절하고 도움이 되었습니다.
16,2026-03-05 15:47:00,보현행원노인통합지원센터,5,2,보현행원노인통합지원센터,5,4,5,5,1,2,3,6,1;2,실무 매뉴얼 보완이 필요합니다.
17,2026-11-13 16:48:00,밀양노인통합지원센터,4,1,밀양노인통합지원센터,2,1,3,1,5,2,3,4,3;4;6,행정 절차 간소화가 필요합니다.
18,2026-04-18 11:15:00,밀양노인통합지원센터,4,1,밀양노인통합지원센터,1,1,2,5,2,4,2,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
19,2026-06-09 15:03:00,생명의전화노인통합지원센터,1,3,생명의전화노인통합지원센터,2,2,1,1,2,5,5,2,2;6,현장 의견 반영이 더 필요합니다.
20,2026-06-22 10:56:00,통영시종합사회복지관,4,1,통영시종합사회복지관,4,2,4,1,2,5,5,6,1;4;6,교육 주제가 다양해졌으면 합니다.
21,2026-09-20 09:29:00,통영시종합사회복지관,5,3,통영시종합사회복지관,4,4,4,2,1,1,1,3,1,행정 절차 간소화가 필요합니다.
22,2026-04-25 09:30:00,통영시종합사회복지관,1,4,통영시종합사회복지관,1,4,2,3,5,3,1,6,3;5;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
23,2026-06-15 09:33:00,동진노인통합지원센터,3,1,동진노인통합지원센터,1,5,1,5,3,3,3,3,4;5,온라인 교육 병행을 희망합니다.
24,2026-09-12 14:24:00,합천노인통합지원센터,1,2,합천노인통합지원센터,4,4,4,1,2,4,4,6,1;4;5,담당자 응대가 친절하고 도움이 되었습니다.
25,2026-06-19 14:25:00,창녕지역자활센터,1,2,창녕지역자활센터,4,4,4,5,2,1,3,3,2;4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
26,2026-06-18 17:30:00,창녕지역자활센터,3,1,창녕지역자활센터,2,2,2,3,4,1,3,3,2;4,온라인 교육 병행을 희망합니다.
27,2026-06-24 12:00:00,하청교회 행복늘푸른대학,3,1,하청교회 행복늘푸른대학,1,4,4,1,3,2,1,3,3,종사자 처우 개선이 시급합니다.
28,2026-06-04 15:34:00,하청교회 행복늘푸른대학,4,2,하청교회 행복늘푸른대학,4,3,4,1,3,4,3,4,4;5;6,현장 의견 반영이 더 필요합니다.
29,2026-09-18 17:49:00,진해서부노인종합복지관,2,1,진해서부노인종합복지관,1,3,5,2,4,5,2,4,1;2;3,실무 매뉴얼 보완이 필요합니다.
30,2026-05-25 10:42:00,함안군재가노인통합지원센터,2,4,함안군재가노인통합지원센터,1,4,3,5,2,3,1,1,1;4,담당자 응대가 친절하고 도움이 되었습니다.
31,2026-04-03 17:28:00,양산행복한돌봄 사회적협동조합,2,2,양산행복한돌봄 사회적협동조합,5,2,3,4,1,5,2,1,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
32,2026-10-23 15:41:00,양산행복한돌봄 사회적협동조합,1,4,양산행복한돌봄 사회적협동조합,3,4,5,5,5,3,5,4,5;6,온라인 교육 병행을 희망합니다.
33,2026-03-11 11:59:00,양산행복한돌봄 사회적협동조합,2,1,양산행복한돌봄 사회적협동조합,4,1,1,3,5,4,3,4,1;5,종사자 처우 개선이 시급합니다.
34,2026-11-22 10:57:00,화방남해노인통합지원센터,1,4,화방남해노인통합지원센터,1,4,2,3,4,2,1,4,1,담당자 응대가 친절하고 도움이 되었습니다.
35,2026-10-12 14:28:00,화방남해노인통합지원센터,2,4,화방남해노인통합지원센터,1,4,5,3,5,4,2,4,1;5;6,실무 매뉴얼 보완이 필요합니다.
36,2026-06-17 09:25:00,화방남해노인통합지원센터,5,2,화방남해노인통합지원센터,1,1,2,1,4,1,4,4,2;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
37,2026-06-26 12:26:00,진양노인통합지원센터,1,2,진양노인통합지원센터,1,4,5,5,3,3,5,1,3,실무 매뉴얼 보완이 필요합니다.
38,2026-03-08 16:43:00,진양노인통합지원센터,2,3,진양노인통합지원센터,3,3,5,3,5,2,3,6,2;5,실무 매뉴얼 보완이 필요합니다.
39,2026-04-05 16:54:00,효능원노인통합지원센터,3,2,효능원노인통합지원센터,5,2,2,3,3,1,4,3,5,담당자 응대가 친절하고 도움이 되었습니다.
40,2026-08-18 10:40:00,효능원노인통합지원센터,3,4,효능원노인통합지원센터,4,2,1,2,2,4,1,1,2;4;5,실무 매뉴얼 보완이 필요합니다.
41,2026-07-12 13:06:00,효능원노인통합지원센터,2,3,효능원노인통합지원센터,3,2,1,3,4,2,1,5,1,온라인 교육 병행을 희망합니다.
42,2026-09-17 14:49:00,창녕군새누리노인종합센터,5,1,창녕군새누리노인종합센터,5,4,3,3,5,5,4,2,1;2;3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
43,2026-10-16 12:21:00,창녕군새누리노인종합센터,1,4,창녕군새누리노인종합센터,4,5,1,1,2,2,5,4,4,온라인 교육 병행을 희망합니다.
44,2026-03-16 11:07:00,창녕군새누리노인종합센터,4,2,창녕군새누리노인종합센터,3,1,2,3,2,2,2,6,1;5,종사자 처우 개선이 시급합니다.
45,2026-06-26 09:26:00,사천노인통합지원센터,2,2,사천노인통합지원센터,2,4,3,3,1,1,5,1,3;5;6,담당자 응대가 친절하고 도움이 되었습니다.
46,2026-07-25 17:55:00,사천노인통합지원센터,3,2,사천노인통합지원센터,1,2,3,2,3,1,5,3,3;4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
47,2026-04-22 17:27:00,사천노인통합지원센터,1,3,사천노인통합지원센터,4,3,1,5,5,3,1,3,2;3,실무 매뉴얼 보완이 필요합니다.
48,2026-04-07 16:02:00,경남하동지역자활센터,3,3,경남하동지역자활센터,2,3,3,1,5,1,5,2,1;6,현장 의견 반영이 더 필요합니다.
49,2026-06-11 15:20:00,경남하동지역자활센터,5,3,경남하동지역자활센터,2,5,5,2,1,2,2,4,4;6,현장 방문 횟수가 늘어나면 좋겠습니다.
50,2026-09-20 11:49:00,경남하동지역자활센터,2,3,경남하동지역자활센터,2,2,5,4,1,5,3,1,6,종사자 처우 개선이 시급합니다.
51,2026-03-27 12:50:00,사천건양주야간보호센터,3,2,사천건양주야간보호센터,3,2,3,1,4,4,2,5,2;3;4,교육 주제가 다양해졌으면 합니다.
52,2026-07-22 17:34:00,미타재가복지센터,5,2,미타재가복지센터,2,3,2,4,3,1,5,4,3;5,현장 의견 반영이 더 필요합니다.
53,2026-09-25 14:51:00,화방재가복지센터,3,2,화방재가복지센터,3,2,5,2,4,5,2,5,1;3,온라인 교육 병행을 희망합니다.
54,2026-07-07 14:52:00,화방재가복지센터,1,3,화방재가복지센터,2,5,5,5,3,5,3,4,1;2;4,실무 매뉴얼 보완이 필요합니다.
55,2026-09-10 14:13:00,화방재가복지센터,3,1,화방재가복지센터,4,4,3,1,3,4,1,5,1;2;5,실무 매뉴얼 보완이 필요합니다.
56,2026-08-09 11:35:00,거제사랑노인복지센터,5,4,거제사랑노인복지센터,2,3,3,5,4,4,5,4,4;5,종사자 처우 개선이 시급합니다.
57,2026-07-15 09:26:00,거제사랑노인복지센터,1,4,거제사랑노인복지센터,1,4,5,1,1,3,5,4,1,현장 의견 반영이 더 필요합니다.
58,2026-06-26 17:16:00,거제사랑노인복지센터,4,1,거제사랑노인복지센터,3,4,4,3,4,4,3,1,1;3;4,현장 의견 반영이 더 필요합니다.
59,2026-04-13 16:42:00,거창노인통합지원센터,3,3,거창노인통합지원센터,5,2,2,3,2,3,5,6,5;6,지속적인 지원을 부탁드립니다.
60,2026-03-09 14:48:00,거창노인통합지원센터,1,3,거창노인통합지원센터,4,4,5,2,4,3,3,1,6,행정 절차 간소화가 필요합니다.
61,2026-05-26 17:27:00,거창노인통합지원센터,1,4,거창노인통합지원센터,5,5,2,3,4,1,3,1,3,현장 의견 반영이 더 필요합니다.
62,2026-06-18 14:55:00,김해돌봄지원센터,4,4,김해돌봄지원센터,2,4,3,5,1,4,2,5,2;3;5,현장 방문 횟수가 늘어나면 좋겠습니다.
63,2026-11-28 09:42:00,김해돌봄지원센터,4,2,김해돌봄지원센터,3,5,3,2,1,1,1,1,4,종사자 처우 개선이 시급합니다.
64,2026-09-20 14:05:00,김해돌봄지원센터,5,2,김해돌봄지원센터,1,3,5,3,2,4,4,3,1;4;6,교육 주제가 다양해졌으면 합니다.
65,2026-08-14 11:03:00,명진노인통합지원센터,2,4,명진노인통합지원센터,2,3,3,3,2,5,3,4,2;4;5,교육 주제가 다양해졌으면 합니다.
66,2026-04-18 10:43:00,명진노인통합지원센터,2,2,명진노인통합지원센터,2,3,4,4,1,4,1,4,1,온라인 교육 병행을 희망합니다.
67,2026-07-28 14:29:00,사회적협동조합 합천종합복지공동체,4,4,사회적협동조합 합천종합복지공동체,2,4,2,4,2,4,4,5,1;6,종사자 처우 개선이 시급합니다.
68,2026-11-20 16:52:00,사회적협동조합 합천종합복지공동체,4,3,사회적협동조합 합천종합복지공동체,4,3,5,3,3,2,3,5,2;3;6,교육 주제가 다양해졌으면 합니다.
69,2026-10-26 13:56:00,코끼리행복복지센터,1,2,코끼리행복복지센터,4,4,4,4,5,4,3,1,1;2,온라인 교육 병행을 희망합니다.
70,2026-09-15 14:05:00,코끼리행복복지센터,3,4,코끼리행복복지센터,3,2,3,1,1,3,4,2,1;2;5,현장 의견 반영이 더 필요합니다.
71,2026-03-19 13:47:00,하동노인통합지원센터,1,4,하동노인통합지원센터,3,4,3,5,2,2,3,6,2;3,종사자 처우 개선이 시급합니다.
72,2026-08-21 15:23:00,하동노인통합지원센터,2,3,하동노인통합지원센터,2,2,2,4,4,1,1,1,1;4,실무 매뉴얼 보완이 필요합니다.
73,2026-04-03 09:47:00,하동노인통합지원센터,2,3,하동노인통합지원센터,5,3,4,1,1,5,5,5,3;4;5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
74,2026-11-04 14:32:00,사단법인 대한노인회 함양군지회,2,4,사단법인 대한노인회 함양군지회,3,4,4,1,3,3,4,4,1;5,현장 방문 횟수가 늘어나면 좋겠습니다.
75,2026-10-22 09:17:00,산청성모노인통합지원센터,4,4,산청성모노인통합지원센터,4,4,5,2,5,1,3,6,3,현장 방문 횟수가 늘어나면 좋겠습니다.
76,2026-08-20 14:01:00,산청성모노인통합지원센터,5,1,산청성모노인통합지원센터,3,2,2,2,1,2,5,6,4,현장 방문 횟수가 늘어나면 좋겠습니다.
77,2026-07-28 09:20:00,산청성모노인통합지원센터,3,4,산청성모노인통합지원센터,2,5,5,4,2,2,1,3,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
78,2026-04-18 15:24:00,진주노인통합지원센터,1,3,진주노인통합지원센터,4,3,4,2,2,5,5,1,4;5,지속적인 지원을 부탁드립니다.
79,2026-07-15 13:55:00,남양양로원,3,2,남양양로원,1,2,3,5,3,3,1,1,2;5;6,종사자 처우 개선이 시급합니다.
80,2026-06-27 14:05:00,정현사회적협동조합,5,4,정현사회적협동조합,4,3,4,4,3,1,2,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
81,2026-11-22 12:00:00,정현사회적협동조합,2,3,정현사회적협동조합,5,3,2,3,4,3,5,1,2;5,종사자 처우 개선이 시급합니다.
82,2026-08-21 11:44:00,통영노인통합지원센터,1,4,통영노인통합지원센터,5,5,3,3,5,5,1,5,1;2;3,종사자 처우 개선이 시급합니다.
83,2026-09-11 14:51:00,통영노인통합지원센터,5,1,통영노인통합지원센터,4,4,3,5,2,2,5,2,5,교육 주제가 다양해졌으면 합니다.
84,2026-07-18 10:35:00,통영노인통합지원센터,1,1,통영노인통합지원센터,2,5,1,3,4,2,3,2,2;3;5,담당자 응대가 친절하고 도움이 되었습니다.
85,2026-08-19 16:47:00,공덕의집노인통합지원센터,2,1,공덕의집노인통합지원센터,5,1,2,1,5,3,2,4,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
86,2026-07-24 15:05:00,창원도우누리노인통합재가센터,2,2,창원도우누리노인통합재가센터,1,3,3,3,2,1,1,3,1,교육 주제가 다양해졌으면 합니다.
87,2026-07-10 09:28:00,경남노인통합지원센터,4,1,경남노인통합지원센터,1,1,5,4,3,5,5,3,3;4;6,현장 방문 횟수가 늘어나면 좋겠습니다.
88,2026-09-08 13:20:00,사랑원노인지원센터,3,1,사랑원노인지원센터,5,2,5,5,1,2,4,5,2;3;6,현장 의견 반영이 더 필요합니다.
89,2026-09-10 10:59:00,사랑원노인지원센터,5,1,사랑원노인지원센터,1,4,1,4,4,5,1,1,6,종사자 처우 개선이 시급합니다.
90,2026-05-06 13:08:00,사랑원노인지원센터,1,4,사랑원노인지원센터,5,2,4,5,2,2,1,6,3;4,담당자 응대가 친절하고 도움이 되었습니다.
91,2026-09-27 15:09:00,거창인애노인통합지원센터,1,2,거창인애노인통합지원센터,3,4,5,1,1,1,3,5,2,지속적인 지원을 부탁드립니다.
92,2026-10-05 11:35:00,거창인애노인통합지원센터,4,1,거창인애노인통합지원센터,2,2,2,1,1,4,3,5,4;5,담당자 응대가 친절하고 도움이 되었습니다.
93,2026-07-26 12:35:00,거창인애노인통합지원센터,4,1,거창인애노인통합지원센터,2,5,3,1,3,3,2,6,3,종사자 처우 개선이 시급합니다.
